product_name,link,startech_rice,brand
Gigabyte GA-B250M-HD3 Motherboard,https://www.startech.com.bd/gigabyte-ga-b250m-hd3,"6,900",Gigabyte
Gigabyte GA-H110M-H Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-h110m-h-motherboard,"5,500",Gigabyte
Gigabyte GA-H110M-S2 Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-h110m-s2-micro-atx-motherboard,"5,400",Gigabyte
Gigabyte GA-H61M-DS2 Motherboard,https://www.startech.com.bd/gigabyte-ga-h61m-ds2,"6,000",Gigabyte
GIGABYTE GA-H81M-S2PV,https://www.startech.com.bd/gigabyte-ga-h81m-s2pv,"5,000",GIGABYTE
Gigabyte H370M D3H Ultra Durable 8th Gen Motherboard,https://www.startech.com.bd/gigabyte-h370m-d3h-motherboard,"10,700",Gigabyte
Gigabyte H370N WIFI 8th Gen Mini-ITX Motherboard,https://www.startech.com.bd/gigabyte-h370n-wifi-8th-gen-motherboard,"10,500",Gigabyte
Gigabyte H61M S2PH Motherboard,https://www.startech.com.bd/gigabyte-h61m-s2ph-motherboard,"5,800",Gigabyte
Gigabyte X299 AORUS Gaming 7 Motherboard,https://www.startech.com.bd/x299-aorus-gaming-7-motherboard,"44,000",Gigabyte
Gigabyte X299 Ultra Durable Motherboard ,https://www.startech.com.bd/gigabyte-x299-ud4-motherboard,"24,000",Gigabyte
Gigabyte X399 AORUS Gaming 7 AMD ATX Motherboard,https://www.startech.com.bd/gigabyte-x399-aorus-gaming-7-motherboard,"39,500",Gigabyte
Gigabyte X470 AORUS GAMING 7 WIFI AM4 AMD ATX Motherboard,https://www.startech.com.bd/gigabyte-x470-aorus-gaming-7-amd-motherboard,"22,500",Gigabyte
Gigabyte Z370N WiFi Ultra Durable 8th Gen Motherboard,https://www.startech.com.bd/gigabyte-z370n-wifi-motherboard,"14,000",Gigabyte
Gigabyte Z390 Aorus Master 9th Gen Motherboard,https://www.startech.com.bd/gigabyte-z390-aorus-master-motherboard,"23,900",Gigabyte
Gigabyte Z390 GAMING SLI 9th Gen ATX Motherboard,https://www.startech.com.bd/gigabyte-z390-gaming-sli-9th-gen-motherboard,"14,800",Gigabyte
Gigabyte Z390 GAMING X 9th Gen ATX Motherboard,https://www.startech.com.bd/gigabyte-z390-gaming-x-9th-gen-motherboard,"14,100",Gigabyte
MSI B250 KRAIT GAMING Motherboard,https://www.startech.com.bd/msi-b250-krait-gaming,"10,200",MSI
MSI B360 Gaming Plus 8th Gen DDR4 Motherboard,https://www.startech.com.bd/msi-b360-gaming-plus-motherboard,"11,500",MSI
MSI B360M Mortar 8th Gen DDR4 Motherboard,https://www.startech.com.bd/msi-b360m-mortar-motherboard,"10,500",MSI
MSI H370 Gaming Pro Carbon 8th Gen DDR4 Motherboard,https://www.startech.com.bd/msi-h370-gaming-pro-carbon-motherboard,"15,200",MSI
MSI H370m Bazooka 8th Gen DDR4 Motherboard,https://www.startech.com.bd/msi-h370m-bazooka-motherboard,"12,700",MSI
Asus Prime X399-A AMD Motherboard,https://www.startech.com.bd/asus-prime-x399-a-motherboard,"29,900",Asus
Gigabyte B450 AORUS M AMD Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-b450-aorus-m-amd-motherboard,"9,900",Gigabyte
